index,Date,CompanyName,PickupPerDay
2,2014-07-11,Lyft,0
2,2014-07-12,Lyft,0
2,2014-07-13,Lyft,0
2,2014-07-14,Lyft,0
2,2014-07-15,Lyft,0
2,2014-07-16,Lyft,0
2,2014-07-17,Lyft,0
2,2014-07-18,Lyft,0
2,2014-07-19,Lyft,0
2,2014-07-20,Lyft,0
2,2014-07-21,Lyft,0
2,2014-07-22,Lyft,0
2,2014-07-23,Lyft,0
2,2014-07-24,Lyft,0
2,2014-07-25,Lyft,40
2,2014-07-26,Lyft,468
2,2014-07-27,Lyft,623
2,2014-07-28,Lyft,418
2,2014-07-29,Lyft,671
2,2014-07-30,Lyft,884
2,2014-07-31,Lyft,1150
2,2014-08-01,Lyft,1506
2,2014-08-02,Lyft,2111
2,2014-08-03,Lyft,2023
2,2014-08-04,Lyft,1787
2,2014-08-05,Lyft,2276
2,2014-08-06,Lyft,2363
2,2014-08-07,Lyft,4331
2,2014-08-08,Lyft,6190
2,2014-08-09,Lyft,7740
2,2014-08-10,Lyft,7330
2,2014-08-11,Lyft,4679
2,2014-08-12,Lyft,5202
2,2014-08-13,Lyft,5786
2,2014-08-14,Lyft,5770
2,2014-08-15,Lyft,5888
2,2014-08-16,Lyft,6171
2,2014-08-17,Lyft,5820
2,2014-08-18,Lyft,4464
2,2014-08-19,Lyft,5156
2,2014-08-20,Lyft,5502
2,2014-08-21,Lyft,5579
2,2014-08-22,Lyft,6051
2,2014-08-23,Lyft,5502
2,2014-08-24,Lyft,4531
2,2014-08-25,Lyft,2553
2,2014-08-26,Lyft,2472
2,2014-08-27,Lyft,2726
2,2014-08-28,Lyft,4664
2,2014-08-29,Lyft,6779
2,2014-08-30,Lyft,7683
2,2014-08-31,Lyft,6813
2,2014-09-01,Lyft,5491
2,2014-09-02,Lyft,4467
2,2014-09-03,Lyft,4670
2,2014-09-04,Lyft,4890
2,2014-09-05,Lyft,5748
2,2014-09-06,Lyft,7722
2,2014-09-07,Lyft,6797
2,2014-09-08,Lyft,3849
2,2014-09-09,Lyft,3895
2,2014-09-10,Lyft,4262
2,2014-09-11,Lyft,4872
2,2014-09-12,Lyft,4712
2,2014-09-13,Lyft,5226
2,2014-09-14,Lyft,4116
2,2014-09-15,Lyft,2187
2,2014-09-16,Lyft,2028
2,2014-09-17,Lyft,2149
2,2014-09-18,Lyft,2364
2,2014-09-19,Lyft,2844
2,2014-09-20,Lyft,4026
2,2014-09-21,Lyft,3481
2,2014-09-22,Lyft,1886
2,2014-09-23,Lyft,2028
2,2014-09-24,Lyft,2243
2,2014-09-25,Lyft,2891
2,2014-09-26,Lyft,3089
2,2014-09-27,Lyft,4555
2,2014-09-28,Lyft,4509
2,2014-09-29,Lyft,2631
2,2014-09-30,Lyft,2371
2,2014-07-01,Uber,21228
2,2014-07-02,Uber,26480
2,2014-07-03,Uber,21597
2,2014-07-04,Uber,14148
2,2014-07-05,Uber,10890
2,2014-07-06,Uber,11443
2,2014-07-07,Uber,18280
2,2014-07-08,Uber,25763
2,2014-07-09,Uber,27817
2,2014-07-10,Uber,30541
2,2014-07-11,Uber,28752
2,2014-07-12,Uber,25936
2,2014-07-13,Uber,21082
2,2014-07-14,Uber,27350
2,2014-07-15,Uber,33845
2,2014-07-16,Uber,28607
2,2014-07-17,Uber,30710
2,2014-07-18,Uber,29860
2,2014-07-19,Uber,25726
2,2014-07-20,Uber,21212
2,2014-07-21,Uber,23578
2,2014-07-22,Uber,29029
2,2014-07-23,Uber,34073
2,2014-07-24,Uber,32050
2,2014-07-25,Uber,29975
2,2014-07-26,Uber,27708
2,2014-07-27,Uber,22590
2,2014-07-28,Uber,23981
2,2014-07-29,Uber,27589
2,2014-07-30,Uber,30740
2,2014-07-31,Uber,33541
2,2014-08-01,Uber,32353
2,2014-08-02,Uber,28678
2,2014-08-03,Uber,23146
2,2014-08-04,Uber,24952
2,2014-08-05,Uber,28094
2,2014-08-06,Uber,30495
2,2014-08-07,Uber,32759
2,2014-08-08,Uber,30411
2,2014-08-09,Uber,26286
2,2014-08-10,Uber,20584
2,2014-08-11,Uber,22632
2,2014-08-12,Uber,29646
2,2014-08-13,Uber,29788
2,2014-08-14,Uber,30457
2,2014-08-15,Uber,28974
2,2014-08-16,Uber,26234
2,2014-08-17,Uber,21209
2,2014-08-18,Uber,21956
2,2014-08-19,Uber,24834
2,2014-08-20,Uber,27955
2,2014-08-21,Uber,32304
2,2014-08-22,Uber,29512
2,2014-08-23,Uber,27097
2,2014-08-24,Uber,22036
2,2014-08-25,Uber,22093
2,2014-08-26,Uber,24550
2,2014-08-27,Uber,27018
2,2014-08-28,Uber,28597
2,2014-08-29,Uber,27424
2,2014-08-30,Uber,23930
2,2014-08-31,Uber,23271
2,2014-09-01,Uber,19961
2,2014-09-02,Uber,28831
2,2014-09-03,Uber,32631
2,2014-09-04,Uber,38360
2,2014-09-05,Uber,42319
2,2014-09-06,Uber,40520
2,2014-09-07,Uber,30134
2,2014-09-08,Uber,30360
2,2014-09-09,Uber,34560
2,2014-09-10,Uber,35910
2,2014-09-11,Uber,36439
2,2014-09-12,Uber,39540
2,2014-09-13,Uber,43205
2,2014-09-14,Uber,28122
2,2014-09-15,Uber,29454
2,2014-09-16,Uber,36092
2,2014-09-17,Uber,35531
2,2014-09-18,Uber,40274
2,2014-09-19,Uber,41017
2,2014-09-20,Uber,38864
2,2014-09-21,Uber,28620
2,2014-09-22,Uber,28312
2,2014-09-23,Uber,30316
2,2014-09-24,Uber,31301
2,2014-09-25,Uber,38203
2,2014-09-26,Uber,37504
2,2014-09-27,Uber,39468
2,2014-09-28,Uber,29656
2,2014-09-29,Uber,29201
2,2014-09-30,Uber,33431
